Matricula,Estado,Marca/Modelo,Color del vehiculo,Estatus Legal,Propietario Virtual,Fecha de registro,Filename
AF1-564-C,AGS,Chevrolet Beat,Vino,Importacion Definitiva,Victor Medina Del Valle,2018-08-15 12:47:47,AF1-564-C.jpg
AD5-964-K,AGS,Fiat Argo,Amarillo,Robado,Sergio Zamora Flores,2017-10-20 14:53:33,AD5-964-K.jpg
AFS-363-G,AGS,Fiat 500,Naranja,En Proceso Legal,Alicia Sandoval Maldonado,2018-11-12 14:24:27,AFS-363-G.jpg
ADX-678-F,AGS,Fiat Cronos,Azul Marino,Recuperado,Daniela Ortega Velazquez,2022-11-11 07:14:22,ADX-678-F.jpg
AET-458-M,AGS,Peugeot 5008,Blanco,Robado,Marina Huerta Gutierrez,2024-01-24 02:16:01,AET-458-M.jpg
ACU-003-S,AGS,Peugeot 5008,Morado,Recuperado,Marina Pineda Pineda,2022-11-02 05:14:42,ACU-003-S.jpg
AAK-442-N,AGS,Renault Kwid,Rojo,Activo,Norma Barajas Dominguez,2018-02-22 03:41:54,AAK-442-N.jpg
AB7-007-C,AGS,Toyota Hilux,Amarillo,Baja Definitiva,Cecilia Sanchez Martinez,2017-03-28 14:47:46,AB7-007-C.jpg
AFF-445-H,AGS,Mazda CX-5,Morado,Irregular,Patricia Silva Castillo,2022-02-03 12:49:18,AFF-445-H.jpg
AD9-460-E,AGS,Chevrolet Beat,Azul Marino,Importacion Definitiva,Arturo Quintero Mejia,2021-05-13 19:48:47,AD9-460-E.jpg
AC7-802-H,AGS,Peugeot 208,Verde,Activo,Manuel Esquivel Torres,2026-05-14 03:07:06,AC7-802-H.jpg
AB9-906-B,AGS,Mercedes-Benz C-Class,Vino,Baja Definitiva,Claudia Maldonado Fuentes,2023-08-04 18:01:01,AB9-906-B.jpg
ACX-132-Z,AGS,Nissan Sentra,Vino,Baja Definitiva,Antonio Juarez Silva,2017-03-09 11:45:34,ACX-132-Z.jpg
AC4-400-D,AGS,Chevrolet Aveo,Naranja,En Proceso Legal,Mateo Maldonado Villanueva,2020-11-16 20:45:41,AC4-400-D.jpg
ADC-417-Z,AGS,Ford Fusion,Rojo Oscuro,Activo,Liliana Beltran Hernandez,2019-05-31 05:28:21,ADC-417-Z.jpg
ADC-736-F,AGS,Hyundai Santa Fe,Beige,Baja Temporal,Fabiola Carrillo Villegas,2020-03-10 05:20:52,ADC-736-F.jpg
AAA-706-N,AGS,Mercedes-Benz A-Class,Amarillo,Activo,Miguel Avila Herrera,2017-02-07 11:48:57,AAA-706-N.jpg
ABC-187-V,AGS,Chevrolet Spark,Gris Oscuro,Baja Temporal,Monica Dominguez Torres,2022-11-20 14:17:14,ABC-187-V.jpg
AD7-809-J,AGS,Mazda 2,Gris Oscuro,Cancelado,Guadalupe Fernandez Rosales,2025-06-08 15:30:13,AD7-809-J.jpg
AAW-716-P,AGS,Fiat Argo,Amarillo,En Proceso Legal,Maria Herrera Plascencia,2018-04-07 18:02:31,AAW-716-P.jpg
ADY-227-F,AGS,Hyundai Accent,Vino,Robado,Manuel Soto Montes,2024-08-31 22:20:53,ADY-227-F.jpg
AB8-926-E,AGS,Kia Sportage,Blanco,Baja Temporal,Ignacio Acosta Martinez,2025-08-17 03:11:21,AB8-926-E.jpg
AFK-126-Y,AGS,Mazda CX-5,Rojo Oscuro,Robado,Martha Sanchez Peña,2025-02-11 22:28:49,AFK-126-Y.jpg
AF1-260-E,AGS,Fiat Cronos,Dorado,Irregular,Martha Velazquez Castro,2025-04-26 00:00:19,AF1-260-E.jpg
AET-038-N,AGS,Volkswagen Golf,Dorado,Baja Temporal,Manuel Esquivel Diaz,2018-04-04 18:26:17,AET-038-N.jpg
AEP-286-F,AGS,Renault Duster,Blanco Perlado,Activo,Paola Portillo Trejo,2019-06-15 03:15:45,AEP-286-F.jpg
ABA-959-Z,AGS,Hyundai Elantra,Verde Oscuro,Baja Definitiva,Adriana Esquivel Cervantes,2020-10-16 15:32:39,ABA-959-Z.jpg
AB8-155-V,AGS,Jeep Grand Cherokee,Verde,Recuperado,Cecilia Correa Torres,2022-06-23 23:53:41,AB8-155-V.jpg
AC5-462-K,AGS,Honda Accord,Morado,Baja Definitiva,Roberto Acosta Orozco,2023-10-15 02:43:40,AC5-462-K.jpg
AAT-264-W,AGS,Nissan March,Verde,Reposicion,Victor Maldonado Nieto,2021-11-19 10:57:57,AAT-264-W.jpg
AAZ-551-G,AGS,Volkswagen Vento,Azul,Activo,Sofia Estrada Ramos,2017-08-04 08:48:20,AAZ-551-G.jpg
ACY-432-L,AGS,Audi A4,Negro,Activo,David Cervantes Urbina,2021-04-26 07:48:53,ACY-432-L.jpg
AAU-413-F,AGS,Nissan Sentra,Gris Oscuro,En Proceso Legal,Marcos Tovar Acosta,2017-01-04 03:02:07,AAU-413-F.jpg
AD3-932-X,AGS,Hyundai Santa Fe,Verde Oscuro,Baja Definitiva,Elias Mora Rivera,2021-04-25 13:22:26,AD3-932-X.jpg
ABE-020-G,AGS,Audi A4,Azul,Activo,Carolina Pineda Del Valle,2024-05-12 00:00:34,ABE-020-G.jpg
AEP-009-P,AGS,Volkswagen Jetta,Vino,Robado,Paola Huerta Delgado,2018-04-12 18:16:32,AEP-009-P.jpg
AEP-714-J,AGS,Jeep Wrangler,Plateado,Importacion Definitiva,Laura Peña Orozco,2023-09-21 00:06:31,AEP-714-J.jpg
AB6-999-K,AGS,Toyota Hilux,Gris,Irregular,Oscar Guerrero Carrillo,2025-09-13 22:20:33,AB6-999-K.jpg
ACE-480-K,AGS,Fiat Cronos,Blanco,Baja Temporal,Juan Tovar Espinoza,2025-04-17 20:12:55,ACE-480-K.jpg
AD7-210-W,AGS,Ford Focus,Azul Marino,Baja Temporal,Cristian Montes Figueroa,2024-12-20 05:47:44,AD7-210-W.jpg
AEN-791-S,AGS,Renault Duster,Blanco,Importacion Temporal,Ruben Trejo Orozco,2019-10-12 17:41:38,AEN-791-S.jpg
AEM-253-S,AGS,Mercedes-Benz C-Class,Dorado,Importacion Definitiva,Alberto Arroyo Estrada,2021-08-05 21:07:01,AEM-253-S.jpg
AFS-181-L,AGS,Audi Q5,Naranja,Activo,Elsa Juarez Cabrera,2017-10-16 20:02:47,AFS-181-L.jpg
ACS-899-C,AGS,BMW 3 Series,Plateado,Baja Definitiva,Gabriela Guerrero Chavez,2024-08-20 01:08:40,ACS-899-C.jpg
ABP-814-S,AGS,Mazda MX-5,Beige,Cancelado,Jorge Castro Perez,2024-11-16 03:36:39,ABP-814-S.jpg
AEA-890-H,AGS,Audi A3,Morado,Activo,Carmen Avila Arroyo,2022-03-17 17:00:30,AEA-890-H.jpg
ABK-785-W,AGS,Honda CR-V,Blanco,Remarcaje,Rosa Reyes Silva,2017-04-18 04:11:36,ABK-785-W.jpg
AB0-192-G,AGS,Peugeot 208,Beige,Activo,Mauricio Valencia Leal,2019-08-16 11:29:04,AB0-192-G.jpg
ADE-346-V,AGS,Fiat Argo,Verde,Importacion Definitiva,Daniela Leal Montoya,2026-04-13 19:46:48,ADE-346-V.jpg
ACA-893-L,AGS,Toyota Prius,Gris Oscuro,Remarcaje,Marisol Correa Sepulveda,2020-04-22 03:47:23,ACA-893-L.jpg
AD1-846-F,AGS,Honda CR-V,Azul,Robado,Benjamin Salazar Hernandez,2026-03-09 17:14:45,AD1-846-F.jpg
AAM-156-S,AGS,Mercedes-Benz GLC,Azul Marino,Activo,Carlos Rosales Camacho,2023-08-18 09:17:19,AAM-156-S.jpg
AAM-103-L,AGS,Renault Sandero,Dorado,Baja Definitiva,Oscar Medina Espinoza,2022-06-03 04:39:07,AAM-103-L.jpg
AFZ-346-E,AGS,Renault Duster,Beige,Importacion Temporal,Ernesto Flores Navarro,2025-11-13 03:34:22,AFZ-346-E.jpg
ABP-072-U,AGS,Kia Sportage,Azul Marino,Irregular,Sofia Valencia Diaz,2021-03-15 14:05:08,ABP-072-U.jpg
ACS-933-X,AGS,Toyota Hilux,Amarillo,Cancelado,Teresa Urbina Velazquez,2020-02-12 03:53:16,ACS-933-X.jpg
AEL-466-J,AGS,Peugeot 308,Naranja,Activo,Ruben Ortega Lopez,2019-09-02 14:21:35,AEL-466-J.jpg
AAE-063-Z,AGS,Fiat 500,Rojo,Baja Definitiva,Liliana Cervantes Arellano,2022-11-04 05:29:10,AAE-063-Z.jpg
AFS-077-E,AGS,Volkswagen Golf,Azul,Cancelado,Mateo Rosales Castillo,2026-04-22 02:35:59,AFS-077-E.jpg
AEH-790-R,AGS,Jeep Renegade,Azul Marino,Activo,Benjamin Castro Plascencia,2024-11-04 18:44:50,AEH-790-R.jpg
AEF-413-E,AGS,Hyundai Accent,Blanco Perlado,Activo,Valeria Peña Gallegos,2025-06-19 23:38:21,AEF-413-E.jpg
ABG-224-D,AGS,Peugeot 3008,Naranja,En Proceso Legal,Isabel Villegas Pineda,2024-06-07 13:21:19,ABG-224-D.jpg
AB3-528-H,AGS,Nissan NP300,Rojo,Homologacion,Gabriela Sepulveda Tapia,2020-12-23 14:02:46,AB3-528-H.jpg
ACU-711-U,AGS,Hyundai Tucson,Naranja,En Proceso Legal,Carolina Izquierdo Hernandez,2019-03-29 05:46:24,ACU-711-U.jpg
AFC-292-Y,AGS,Toyota Hilux,Gris Oscuro,Activo,Javier Avila Mejia,2017-05-09 08:39:47,AFC-292-Y.jpg
AFZ-557-F,AGS,Jeep Renegade,Azul Marino,Cancelado,Javier Morales Huerta,2025-10-01 05:07:17,AFZ-557-F.jpg
AD8-043-J,AGS,Hyundai Accent,Negro,Baja Temporal,Lucia Montoya Garcia,2020-12-11 23:34:54,AD8-043-J.jpg
AED-641-V,AGS,Chevrolet Cruze,Vino,Robado,Ricardo Cruz Garcia,2021-11-29 01:01:48,AED-641-V.jpg
AC7-865-W,AGS,Mazda MX-5,Cafe,En Proceso Legal,Guadalupe Vazquez Gutierrez,2019-09-16 13:00:38,AC7-865-W.jpg
ADN-983-Z,AGS,Fiat Cronos,Naranja,Activo,Beatriz Jimenez Morales,2021-03-15 15:25:00,ADN-983-Z.jpg
AED-957-W,AGS,Peugeot 5008,Negro,Baja Definitiva,Mauricio Esquivel Zarate,2022-01-25 21:27:12,AED-957-W.jpg
ABX-248-F,AGS,Nissan NP300,Rojo Oscuro,En Proceso Legal,Jorge Cabrera Ramirez,2022-07-06 08:51:15,ABX-248-F.jpg
AAU-042-Z,AGS,Honda Civic,Cafe,Irregular,Alberto Mejia Mendoza,2022-08-11 10:05:09,AAU-042-Z.jpg
AF1-156-C,AGS,Hyundai Elantra,Cafe,Irregular,Guillermo Lopez Villalobos,2020-01-08 19:50:35,AF1-156-C.jpg
AEX-909-G,AGS,Renault Sandero,Gris Oscuro,Activo,Isabel Bravo Cordero,2026-02-23 08:13:45,AEX-909-G.jpg
AFW-166-R,AGS,Peugeot 5008,Blanco Perlado,Activo,Ernesto Serrano Garcia,2018-09-20 07:26:35,AFW-166-R.jpg
AAV-718-A,AGS,Renault Sandero,Gris Oscuro,Cancelado,Antonio Alvarez Quintero,2024-06-10 18:21:06,AAV-718-A.jpg
AAN-639-P,AGS,Mazda 2,Verde,Baja Temporal,Jose Chavez Portillo,2020-09-12 11:47:20,AAN-639-P.jpg
AEA-268-V,AGS,Hyundai Santa Fe,Verde Oscuro,Activo,Eduardo Rosales Del Valle,2023-08-21 20:36:27,AEA-268-V.jpg
ABG-363-Z,AGS,Peugeot 208,Amarillo,Importacion Temporal,Elsa Chavez Morales,2020-12-11 14:57:46,ABG-363-Z.jpg
ADJ-679-S,AGS,Volkswagen Golf,Dorado,Importacion Definitiva,Camila Tovar Castillo,2025-12-09 00:51:13,ADJ-679-S.jpg
AE2-317-P,AGS,Mazda 3,Blanco,Remarcaje,Adolfo Aguilar Barajas,2021-02-16 18:35:37,AE2-317-P.jpg
AB7-818-G,AGS,Audi A4,Dorado,Importacion Definitiva,Fernando Camacho Gutierrez,2017-09-12 22:00:09,AB7-818-G.jpg
AF8-705-F,AGS,Mercedes-Benz A-Class,Azul,Reposicion,Felipe Del Valle Leal,2023-05-30 01:33:09,AF8-705-F.jpg
AAX-827-X,AGS,Mazda 3,Rojo Oscuro,Reposicion,Pedro Solano Acosta,2019-01-07 20:25:12,AAX-827-X.jpg
ADV-260-G,AGS,BMW 3 Series,Dorado,Importacion Temporal,Adolfo Del Valle Velazquez,2022-02-27 15:49:33,ADV-260-G.jpg
AEF-102-H,AGS,Chevrolet Spark,Plateado,Cancelado,Silvia Arroyo Dominguez,2022-10-09 16:10:37,AEF-102-H.jpg
AD4-528-W,AGS,Audi Q5,Negro,Activo,Elizabeth Peña Jimenez,2022-07-22 14:13:58,AD4-528-W.jpg
AFB-482-L,AGS,Volkswagen Vento,Azul Marino,Robado,Sebastian Ramirez Contreras,2020-07-30 21:10:36,AFB-482-L.jpg
ABK-655-R,AGS,Mazda 2,Blanco Perlado,Reposicion,Alejandro Estrada Correa,2020-07-18 18:37:30,ABK-655-R.jpg
ABK-636-C,AGS,Fiat Argo,Azul Marino,Baja Temporal,Isabel Martinez Torres,2020-12-25 03:58:20,ABK-636-C.jpg
ABJ-997-P,AGS,Honda Civic,Amarillo,Baja Temporal,Pedro Portillo Soto,2024-08-13 04:50:31,ABJ-997-P.jpg
AAM-611-W,AGS,Peugeot 3008,Dorado,Remarcaje,Patricia Silva Guerrero,2022-02-23 07:25:00,AAM-611-W.jpg
AD8-588-U,AGS,Kia Forte,Rojo,Remarcaje,Eduardo Morales Soto,2022-07-03 13:16:49,AD8-588-U.jpg
AFH-034-E,AGS,Chevrolet Cruze,Plateado,Cancelado,Renata Villanueva Izquierdo,2024-02-02 06:44:23,AFH-034-E.jpg
ABW-776-W,AGS,Hyundai Tucson,Azul Marino,Reposicion,Salvador Alvarez Rios,2025-02-19 19:41:43,ABW-776-W.jpg
ADD-618-P,AGS,Jeep Renegade,Verde,Activo,Miguel Ramirez Ortega,2026-02-20 21:25:34,ADD-618-P.jpg
AAG-863-W,AGS,Honda Civic,Rojo,Activo,Guillermo Portillo Esquivel,2019-07-20 01:39:29,AAG-863-W.jpg
ABC-718-K,AGS,Mercedes-Benz GLA,Vino,Baja Temporal,Mateo Esquivel Fuentes,2021-09-24 12:01:34,ABC-718-K.jpg
ABK-741-S,AGS,Nissan Sentra,Azul Marino,Activo,Elizabeth Figueroa Torres,2018-07-18 10:57:26,ABK-741-S.jpg
ADC-205-J,AGS,Chevrolet Cruze,Plateado,Activo,Monica Tapia Herrera,2017-03-09 21:42:57,ADC-205-J.jpg
AB2-845-K,AGS,Hyundai Santa Fe,Blanco,Irregular,Fernando Torres Izquierdo,2018-07-29 14:56:42,AB2-845-K.jpg
